Rain,Temp,WindDirection,WindSpeed
0.84,70,19,5.75
0.55,63,17,7.37
0.69,51,13,6.24
0.92,54,13,7.4
1.19,63,14,6.28
1.59,65,19,6.87
0.99,68,21,7.2
0.69,49,12,4.17
0.47,42,14,6.84
0.64,43,15,10.48
0.16,45,7,7.4
0.26,46,13,7.84
0.14,49,10,8.22
0.33,73,20,1.98
0,74,12,5.08
0.44,72,8,6.47
0.16,72,16,5.25
0.08,73,24,5.11
0.04,33,19,1.9
0.01,36,14,2.08
0.09,30,16,3.94
0.47,29,23,8.92
0.22,26,21,7.71
0.51,30,23,7.97
0.21,28,18,9.07
0.65,26,23,8.62
0.59,35,23,10.2
12.65,36,21,4.52
1.15,31,20,6.75
1.08,34,19,8.75
0.87,27,17,7.35
0.17,22,20,9.8
0.44,23,22,8.8
0.23,22,18,10
0.48,21,19,9.77
0.52,20,23,9.67
0.42,26,20,10.24
0.25,31,21,12
0.02,28,22,9.98
0.5,31,20,7.94
0.73,28,20,7.47
0.18,30,22,10.34
0.79,35,19,6.97
0.83,38,18,2.14
0.47,36,18,7.82
0.4,39,18,6.91
2.13,36,18,5.31
1.84,51,13,6.15
2.1,51,15,8.01
0.75,54,14,8.84
1.5,46,16,6.58
0.27,51,11,4.03
1.99,22,21,5.52
0.52,18,19,6.44
2.11,27,19,5.88
1.05,35,18,4.67
0.28,39,15,6.34
1.39,33,19,7.51
0,60,21,9.51
1.12,28,20,6.7
0.69,24,19,6.1
0.66,31,20,5.87
0.71,30,17,7.12
0.82,29,17,7.62
0.78,24,18,6.77
0.86,28,17,7.34
0.61,21,0,0
0.95,30,18,8.38
0.61,25,19,6.61
0.18,16,23,8.68
0.1,14,20,5.78
0.17,19,21,8.74
0.44,17,23,12.62
0.13,17,22,8.54
1.23,42,15,8.21
0.35,43,15,5.12
0.32,51,19,6.52
0.11,47,19,3.94
1.15,46,14,5.95
0.1,45,13,5.37
0.4,40,17,6.15
1.4,35,18,8.58
0.69,31,18,9.42
0.6,28,21,9.34
0.67,31,19,9.72
0.69,32,19,10.97
0.54,26,21,8.41
0.52,34,23,9.15
0.09,23,18,7.54
0.13,18,26,1.32
0.07,10,28,7.65
0.05,19,14,4.71
0.11,11,21,6.74
0.14,15,15,5.25
0.12,9,25,4.65
0.15,16,21,1.94
0.02,22,15,2.08
0,13,21,5.21
0.01,21,12,1.88
0.09,22,20,11.48
0.51,24,21,10.65
0.25,20,20,11.07
0.04,25,20,7.1
0.71,23,20,11.07
0.04,21,26,4.11
0,20,29,7.52
0.01,17,27,8.7
1.12,22,23,7.84
0.08,25,19,5.28
0.26,48,16,3.02
0.88,42,9,5.17
0.25,33,16,1.4
0.67,30,13,3.48
0.82,25,21,3.65
0,60,24,31.11
0.8,35,17,6.57
1.78,34,20,7.24
0.37,35,22,2.61
0.27,31,17,9.2
0.11,31,24,1.67
0.9,27,24,4.08
0.74,25,21,7.14
0.64,29,15,7.87
0.77,24,14,2.61
1.72,34,21,7.87
1.42,37,21,8.44
0.63,29,22,7.14
0.68,27,14,5.07
0.48,37,24,5.41
1.47,51,15,9.17
0.42,40,11,6.12
0.39,37,12,6.38
0.66,37,11,3.71
0.27,40,6,4.97
0.34,47,14,9.6
0,10,15,4.98
0,11,25,7.02
0.32,12,23,10.47
0,8,27,10.82
0.05,10,21,4
0.74,31,20,7.15
0.81,32,15,7.94
0.78,31,20,5.6
1.03,32,19,8.08
1.03,31,20,8.05
0.85,29,16,5.31
0.73,29,18,6.97
0.17,33,18,10.01
0.11,35,22,10.87
0.16,36,20,8.5
0.58,34,26,8.75
0.41,43,8,5.88
0.2,18,23,2.02
0.43,38,11,2.27
0.15,42,18,2.35
0.05,28,17,2.11
0.21,38,10,4.9
0.07,29,21,2.47
0.27,37,12,1
1.07,32,21,4.77
0.58,31,15,9.12
1.48,32,20,3.91
0.63,36,21,6.92
0.85,29,18,5.15
1.26,29,14,4.54
1.78,28,18,3.98
0.34,79,8,2.77
1.41,32,19,6.75
0.34,42,8,7.34
0,48,5,9.28
0.27,45,6,6.35
0.5,40,11,6.34
0.04,15,18,9.91
0.04,13,26,9.48
0,14,28,7
0,17,22,6.81
0.31,16,22,9.35
0.67,37,13,3.52
0.61,41,19,4.82
0.85,36,19,5.98
0.94,37,14,5.44
0.32,38,10,5
1.42,41,16,7.35
0.3,41,19,5.84
0.51,39,11,1.45
0.04,42,18,7.08
0.08,32,19,10.62
0.64,48,12,5.1
0.13,50,19,2.2
2.19,53,15,8.84
0.1,59,20,6.04
0.34,37,16,6.71
1.21,49,17,6.65
0.25,55,14,7.11
0.11,32,21,9.04
1.23,44,16,7.37
0.84,44,16,7.87
0,53,18,4.8
0.46,42,24,8.15
0.49,44,20,7.34
0.55,54,15,10.08
1.62,53,15,6.64
0.29,36,22,8.08
0.05,42,19,8.64
0,43,18,6.71
0.06,51,19,4.42
1.5,52,18,6.75
0.22,45,23,5.95
0.11,39,12,9.68
0.29,31,26,2.1
0.9,34,20,4.11
0.52,25,14,5.81
0.71,35,13,3.3
0.11,44,10,11.3
0.68,39,19,7.08
0.9,34,20,4.11
0.27,40,14,7.78
0.79,37,17,6.91
0.09,31,9,3.01
0.16,32,21,2.58
0.34,36,9,0.92
0.38,41,7,4.31
0.26,41,5,3.92
0.02,31,13,4.82
0.21,33,27,1.44
0.53,33,17,7.3
0.23,35,18,3.77
0.47,29,26,3.06
0.52,34,16,4.12
0.72,23,18,7.77
0.56,23,20,8.21
0.52,24,18,7.25
0.27,27,24,8.01
0.3,22,25,9.98
0.29,25,29,4.95
0.36,15,28,0.7
0.3,18,11,5.52
0.01,22,28,2.97
0.34,42,28,3.94
0.16,39,22,4.57
2.24,48,16,4.37
1.48,45,26,3.92
0.15,24,7,3.78
2.59,43,10,8.68
0.06,16,7,20.24
0.17,2,34,4.45
0.15,32,10,13.8
1.17,31,8,1.84
0.04,10,19,9.87
0,-1,16,1.84
0.2,9,18,1
0.46,29,4,2.5
0,26,10,8.08
1.74,36,12,3.87
0.26,24,7,8.41
4.97,42,14,10.3
0.11,29,6,8.61
0.35,35,11,11.8
0.03,15,6,12.82
0.03,1,23,1.24
0.06,18,5,9.64
0,7,13,0.41
0.01,23,31,3.81
0,60,15,3.61
0,60,0,0
0,60,6,10.63
1.66,44,11,12.07
0.42,37,5,6.3
0.17,29,11,16.75
0.1,18,7,3.24
0,1,8,5.85
0.03,-4,5,15.85
1.62,34,7,2.44
0,41,28,4.02
0,41,8,2.62
0,52,12,1.67
0,49,18,1.95
0.06,31,17,1.84
0,39,23,4.67
0,36,26,7.31
0.03,42,0,0
0.01,53,6,1.52
0,38,26,3.05
0,43,21,2.4
1.22,52,14,4.11
4.93,53,0,0
0.13,51,9,2.27
1.04,54,13,4.65
0,57,25,2.27
0,56,24,2.31
2.58,49,20,7.35
4.13,47,23,4.5
1.09,50,19,4.94
0.21,54,11,6.24
0.04,57,29,2.18
1.39,54,16,5.37
0,46,21,11.37
0,55,20,1.54
0.05,56,26,1.5
0.86,50,16,5.32
0,3,25,1.72
0.02,29,19,3.48
0.33,6,22,1.78
0.01,29,20,6.7
0.03,21,9,2.45
0,28,17,3.47
0.32,34,25,8.78
0.4,30,23,7.04
0.45,34,26,7.75
0.45,34,26,7.75
2.39,56,24,4.51
1.55,67,24,7.05
1.37,50,24,3.34
1.66,49,23,4.31
1.18,69,10,9.78
1.97,67,23,5.85
2.22,58,25,6.45
0.49,50,25,4.84
1.69,51,27,3.68
1.6,59,16,6.1
2.32,61,24,6.1
1.58,66,23,7.77
1.87,48,25,3.54
1.1,42,23,4.77
1.58,42,29,6.9
0.73,44,26,4.91
0.9,45,27,4.85
1.82,48,26,5.1
0.05,73,19,2.62
0,73,20,1.54
0,71,7,3.07
0,70,6,2.6
0,71,27,4.65
0.24,32,13,6.02
0.39,36,12,5.28
0.2,26,17,6.27
0.13,21,25,11.2
0.01,20,25,11.21
0.03,21,25,9.38
0,24,26,11.27
0.06,16,25,9.47
0.14,26,25,11.17
0.13,31,24,7.32
0.36,22,24,12.71
0.19,24,23,11.1
0.4,22,24,11.74
0,16,26,12.57
0.04,20,29,10.51
0.05,16,25,11.17
0.01,16,25,7.7
0.02,11,25,9.1
0,29,22,7.45
0.03,34,24,6.07
0,30,26,9.48
0,35,16,4.01
0,30,28,6.17
0,34,24,6.2
0.32,29,23,9.3
0.17,32,24,3.6
0.12,31,23,9.88
0.15,31,23,9.22
0.05,34,25,6.31
1.15,49,15,3.87
0.3,49,18,3.52
1.4,53,16,6.21
0.03,46,20,4.24
1.22,49,16,2.48
0.32,21,22,5.27
0.65,14,22,6.17
1.13,26,29,7.44
0.29,34,25,6.44
1.53,36,26,6.84
1.4,32,25,10.74
0,60,25,10.58
0.82,26,25,9.22
0.54,18,21,6.11
0.51,23,22,11.27
0.3,24,23,10.68
0.51,21,23,9.8
0.3,17,22,7.62
0.24,21,23,10.92
0.37,7,0,0
0.87,22,24,9.25
0.46,9,16,4.85
0.31,-1,27,9.84
0.1,-7,23,5.2
0.03,5,24,8.41
0.02,3,25,11.48
0.04,2,24,7.98
0,43,19,5.97
0.02,42,23,3.5
1.33,49,16,3.67
0.71,47,21,3.25
0.01,45,22,4.22
0.1,44,22,3.55
0.18,41,16,5.01
0.12,33,26,7.55
0.03,28,26,9.5
0.06,28,28,8.87
0.04,29,26,10.21
0.12,33,26,9.04
0,26,28,8.68
0.1,32,26,9.24
0.2,26,19,12.5
0.09,16,15,1.27
0.33,22,24,12.58
0,21,21,11.6
0.03,11,19,5.87
0.34,25,19,10.37
0.21,17,16,9.31
0.11,25,27,3.1
0.45,30,18,3.08
0.13,20,26,6.2
0.26,23,25,0.77
0.04,26,29,8.32
0.04,25,25,7.34
0.02,21,30,9.01
0.03,27,21,7.05
0.04,22,28,8.28
0.02,26,27,9.05
0.01,26,27,11.85
0.07,22,29,8.32
0.21,17,19,8.45
0.48,21,22,3.54
0,45,19,1.44
0,41,7,3.42
0.13,38,25,4.6
0.39,31,14,5.87
0.45,25,22,5.57
0,60,26,43.85
0.83,33,26,8.05
0.34,35,24,9.38
0,34,30,6.34
0,35,26,4.98
0,38,30,4.51
0.31,27,22,6.57
0.52,23,24,7.28
0.77,24,23,10.52
0.24,24,22,4.47
0.59,35,26,9.08
0.31,37,25,10.01
0.35,26,23,10.5
0.52,25,21,10.32
1.21,34,31,6.58
1.33,47,28,8.34
0.97,41,22,4.27
0.61,39,24,5.6
1.4,38,28,2.88
0.5,41,25,3.85
1.45,45,27,5.88
0.12,9,18,6.18
0.04,11,29,9.95
0.27,-3,23,6.81
0.28,-6,27,7.31
0.15,8,29,5.81
0.33,24,23,11.85
0.4,25,22,13.27
0.23,26,23,9.61
0.32,23,23,12.37
0.39,23,22,11.87
0.53,23,24,11.81
0.41,24,22,10.61
0.01,36,21,3.9
0,39,16,6.74
0,37,16,3.47
0,38,23,7
4.01,48,14,6.82
0.45,25,17,1.78
2.94,45,19,5.82
2.3,43,18,2.91
0.88,38,15,3.1
3.68,43,12,10.4
0.5,37,16,5.97
3.38,44,17,4.98
0.35,31,23,6.05
0.94,27,22,12.41
0.37,32,25,6.42
0.4,36,26,8.68
0.44,25,23,8.61
0.33,27,22,5.02
0.27,27,22,5.91
0.11,78,8,4.28
1.17,32,25,7.8
1,42,26,6
1.69,48,27,5.04
0.81,44,26,4.88
1.49,41,22,5.17
0.05,7,24,7.18
0.04,8,29,7.28
0.12,16,28,7.71
0.09,23,24,6.98
0.02,9,30,6.31
0.5,32,25,5.47
0.28,38,30,3.3
0.35,35,25,7.61
0.07,33,25,4.94
0.44,35,25,5.48
0.05,42,25,5.65
0.37,37,24,5.78
0.43,35,23,1.32
0,46,18,6.12
0.11,37,21,3.88
0.01,48,21,3.55
0,52,25,1.52
0.32,51,17,4.55
0.17,59,25,5.07
0.17,41,16,3.61
0.05,49,13,3.78
0.02,55,14,5.81
0,33,22,3.47
0.01,47,17,5.41
0.01,47,23,7.51
0,52,17,5.07
0,44,25,5.45
0.01,48,16,6.54
0.82,53,12,6.61
0.25,52,10,3.57
0.01,40,23,5.74
0,45,26,6.05
0,47,24,6.61
0,52,21,3.6
0.29,51,8,4.17
0,46,22,5.64
0.3,44,18,6.84
0.11,30,15,3.11
0.5,35,28,8.55
0.2,24,25,6.12
0.75,34,22,3.8
1.59,42,26,6.84
0.85,38,19,7.11
0.5,35,28,8.55
1.18,38,26,6.98
0.38,37,26,6.21
1.22,30,9,2.87
0.6,32,28,4.7
2.22,42,21,3.62
4.67,46,15,5.54
2.2,44,12,6.77
1.05,31,12,4.6
0.66,34,26,1.72
0.32,28,25,8.2
0.22,29,24,6.02
0.36,25,24,5.71
0.19,30,22,6.24
0.09,10,24,10.78
0.02,9,24,8.84
0.04,11,24,6.34
0.09,14,25,9.31
0.07,23,22,16.27
0.12,27,29,12.52
0,19,23,1.22
0.1,21,24,18.21
0.33,24,30,5.85
1.55,36,21,6.01
2.38,33,19,6.44
2.53,47,21,6.6
2.77,42,25,4.62
0,23,6,3.64
1.95,43,12,12.18
0.04,8,4,19.64
0,-9,21,5.27
0.19,31,23,4.81
1.05,37,8,4.77
0,9,13,10.57
0,-3,7,6.34
0,-5,29,0.57
0.22,32,6,3.67
0,25,17,11.24
1.05,37,12,7.6
0,25,3,9.8
2.71,43,14,13.33
0,27,27,11.1
4.22,36,13,13.55
0.03,-2,4,5.92
0,-4,21,2.44
0.01,6,16,7.08
0,3,17,0.48
0,23,21,5.52
0,60,14,3.57
0,60,0,0
0,60,8,12.17
1.94,43,11,12.14
0.54,35,8,11.22
0.2,30,4,13.24
0.04,24,1,7.8
0,0,8,9.07
0.1,-8,9,12.58
4.25,37,8,7.81
0,47,17,3.18
0.06,47,16,4.24
0,58,12,1.84
0,56,15,3.54
0.01,39,21,3.48
0.02,35,9,6.25
0.16,28,11,6.4
1.57,31,0,0
0.32,54,18,2.35
0.19,39,31,2.6
0,46,20,3.81
1.54,55,17,3.75
2.53,53,0,0
1.96,53,19,3.72
1.15,55,18,3.75
0.06,59,28,1.72
0.07,58,27,3.11
2.06,52,19,10.51
1.98,52,20,7.9
1.84,54,17,5.17
2.29,56,17,6.72
0.01,61,30,3.21
1.91,55,19,5.95
0.24,47,19,9.14
0.61,57,24,2.08
0.44,57,23,3.62
2.21,53,18,7.48
0.03,15,25,1.92
0,38,22,5.7
0.33,16,25,2.58
0.01,36,24,3.88
0.17,25,15,2.8
0,39,16,4.58
0.71,27,26,13.46
0.1,25,27,12.91
1.17,25,22,14.62
1.17,25,22,14.62
0.93,50,28,6.2
2.02,61,22,9.75
0.35,46,25,5.21
0.05,45,24,6.37
0.87,65,9,11.98
0.99,61,23,7.57
0.07,52,28,8.25
2.06,44,20,6.76
1.1,46,25,6.61
0.66,55,20,6.65
0.51,54,27,9.48
1.56,59,27,10.82
1.17,43,24,5.47
1.98,35,19,6.22
2.7,35,22,9.47
0.49,37,21,5.37
1.1,39,23,5.32
0.65,42,20,6.61
0.6,74,23,2.84
0,74,19,2.74
0.07,72,10,4.48
0.11,71,6,5.18
0.01,72,19,4.7
0.21,41,19,8.08
0.38,43,13,4.87
0.53,29,13,8.78
0.07,18,27,5.81
0.06,17,13,4.9
0.18,18,14,5.22
0.2,17,18,6.68
0.02,17,22,4.27
0.36,18,18,7.1
0.47,24,14,6.95
0.06,16,19,7.72
0.13,19,17,8.25
0.13,15,21,6.22
0,17,18,5.55
0.1,19,14,5.92
0.02,11,15,4.62
0.19,20,11,6.97
0.02,14,13,5.12
0.63,25,15,7.52
0,28,15,9.92
0.01,31,25,6.15
0.01,28,14,7.71
0.17,24,14,6.14
0.01,30,20,9.85
0.25,19,18,8.07
2.27,19,21,2.15
0.6,18,14,7.72
0.42,22,18,7.51
0.3,24,14,7.91
1.28,48,22,5.87
0.16,50,20,5.71
0.33,52,17,9.07
1.34,43,20,6.61
0.59,49,22,5.1
0.04,16,26,9.32
0.02,12,31,8.87
0.11,18,26,9.4
2.15,23,26,11.01
1.37,25,24,9.44
0.48,25,26,15.71
0,60,26,15.84
0.18,20,26,14.91
0.11,17,18,3.95
0.01,20,22,7.82
0.33,21,19,7.17
0.16,19,17,6.28
0.04,17,23,4.44
0.02,18,18,6.72
0.03,14,0,0
0.33,22,15,5.08
0.08,17,15,2.75
0.01,-1,25,5.95
0.05,8,19,4.07
0.03,14,13,5.55
0.07,11,20,7.45
0.04,10,18,5.1
1.21,36,14,9
1.65,36,21,6.22
0.97,48,21,6.87
1.63,46,22,6.04
0.99,43,21,6.52
1.5,42,17,6.17
2.39,34,13,7.34
0.11,25,20,9.25
0.18,23,18,7.17
0.1,23,16,7.61
0.03,22,19,7.48
0.11,27,14,8.1
0.05,20,15,6.11
0.18,24,19,6.91
0.08,34,24,9.98
0.04,24,25,2.45
0.04,27,26,7.08
0,27,20,7.82
0.2,17,11,6.04
0.14,34,21,10.47
0.01,20,22,4.44
0.05,31,27,3.4
0.64,31,22,2.38
0.19,26,19,4.98
0.11,29,24,1.31
0.18,23,16,6.6
0.08,23,16,7.12
0.23,21,20,7.04
0.17,28,15,4.27
0.34,20,15,7.44
0.14,31,25,5.42
0,32,29,7.98
0.14,22,21,4.91
0.22,25,20,8.01
0.34,28,22,3.3
0.05,50,20,1.34
0.01,46,11,3.75
0.33,44,24,4.08
0.21,39,15,5.98
0.09,20,26,11.25
0,60,25,38.75
1.18,25,22,14.11
1.88,27,22,13.65
0,40,29,4.3
0.01,42,28,9.61
0,45,25,5.55
0.02,21,27,11.6
0.04,16,22,9.74
0.04,18,20,9.15
0.02,18,20,6.32
2.15,28,27,14.72
2.43,28,22,15.71
0.34,18,21,8.92
0.24,17,28,7.1
1.56,28,30,8.1
1.56,38,29,9.2
0.84,31,22,5.28
0.88,28,22,7.2
0.62,28,21,5.04
0.96,30,23,4
1.82,36,22,7.68
0.09,14,12,5.11
0.07,20,17,7.71
0.03,12,20,8.72
0,10,22,9.2
0.18,17,12,5.38
0.03,17,18,8.87
0.03,18,17,9.71
0.06,18,18,6.95
0.13,17,18,8.94
0.04,15,16,8.08
0.03,17,18,7.87
0.1,15,17,8.44
0,32,25,10.21
0,35,21,9.47
0,37,17,7.27
0.03,33,17,8.4
5.98,47,17,4.88
0.44,30,16,3.14
2.41,47,17,5.3
0.99,45,16,3.25
0.19,44,18,4.87
1.8,47,12,7.34
0.44,40,16,5.4
2.22,47,17,4.11
1.75,24,22,10.18
0.42,19,17,9.9
2.76,23,26,11.27
1.6,27,22,13.42
0.48,15,24,7.12
0.19,21,23,8.57
0,20,25,7.21
0.23,79,10,4.6
0.45,26,27,13.8
1.57,34,21,5.85
1.02,40,21,6.72
0.71,37,21,5.4
1.51,32,18,5.21
0.03,17,11,8
0.14,16,12,7.82
0.05,19,15,7.34
0.1,26,15,6.37
0.1,15,12,7.12
1.29,24,21,3.98
1.95,30,22,6.34
0.75,24,14,7.68
1.77,24,16,4.74
1.29,27,11,5.82
0.76,32,15,9.1
1.42,26,19,6.07
1.73,28,14,2.08
0,45,20,8.8
0,42,25,11.05
0.01,47,18,6.4
0.01,50,18,3.28
0.49,52,18,6.12
0,60,15,6.98
0,40,15,8.1
0.03,49,27,7.4
0,58,18,10.08
0,41,26,9.68
0.29,43,17,7.6
0.19,43,17,8.45
0,53,17,6.35
0,49,21,5.21
0.19,43,17,7.44
0.04,53,20,8.12
0.18,53,21,6.24
